InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-06-01 12:05:00,0.85,17315,United Kingdom,20.4
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031,United Kingdom,27.8
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,2011-04-21 17:05:00,0.65,14031,United Kingdom,2.6
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,2011-11-16 10:39:00,1.95,17198,United Kingdom,5.85
546157,22180,RETROSPOT LAMP,2,2011-03-10 08:40:00,9.95,13502,United Kingdom,19.9
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-11-14 12:14:00,2.95,15572,United Kingdom,5.9
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-17 15:08:00,0.39,14362,United Kingdom,4.68
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-29 13:38:00,1.25,16818,United Kingdom,15.0
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,2011-11-22 16:02:00,6.75,17759,United Kingdom,6.75
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,2011-07-19 10:51:00,1.65,12415,Australia,3.3
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-03-07 10:52:00,7.9,15039,United Kingdom,7.9
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-30 15:35:00,0.79,13949,United Kingdom,14.22
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,2011-05-05 12:13:00,8.5,14515,United Kingdom,8.5
563745,22115,METAL SIGN EMPIRE TEA,12,2011-08-19 09:38:00,0.79,15159,United Kingdom,9.48
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,2011-03-10 12:50:00,2.55,16625,United Kingdom,15.299999999999999
548005,21499,BLUE POLKADOT WRAP,25,2011-03-29 10:49:00,0.42,14128,United Kingdom,10.5
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-12-15 12:27:00,9.95,13092,United Kingdom,39.8
577820,23169,CLASSIC GLASS COOKIE JAR,18,2011-11-22 09:24:00,3.75,13408,United Kingdom,67.5
555091,21936,RED RETROSPOT PICNIC BAG,1,2011-05-31 12:50:00,2.95,12748,United Kingdom,2.95
556106,22669,RED BABY BUNTING ,2,2011-06-08 16:54:00,2.95,14056,United Kingdom,5.9
537159,22667,RECIPE BOX RETROSPOT ,1,2010-12-05 13:17:00,2.95,14527,United Kingdom,2.95
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433,Norway,15.9
572681,23232,WRAP VINTAGE LEAF DESIGN,25,2011-10-25 13:51:00,0.42,13510,United Kingdom,10.5
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-03-30 12:02:00,0.85,16657,United Kingdom,0.85
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,2011-07-06 13:13:00,0.65,17861,United Kingdom,1.3
566922,23420,PANTRY HOOK TEA STRAINER ,12,2011-09-15 14:58:00,2.08,16156,United Kingdom,24.96
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,2011-03-01 09:35:00,0.85,12428,Finland,20.4
569026,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-30 10:18:00,2.08,16101,United Kingdom,20.8
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,2010-12-09 17:27:00,6.75,17841,United Kingdom,13.5
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,2011-10-25 15:03:00,1.65,13871,United Kingdom,19.799999999999997
552828,22046,TEA PARTY  WRAPPING PAPER ,25,2011-05-11 13:23:00,0.42,13662,United Kingdom,10.5
575922,23225,CHERUB HEART DECORATION SILVER ,24,2011-11-11 17:10:00,0.83,15681,United Kingdom,19.919999999999998
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-07-17 14:05:00,3.25,13880,United Kingdom,13.0
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,2011-03-06 15:17:00,6.75,17107,United Kingdom,67.5
567656,51014A,"FEATHER PEN,HOT PINK",26,2011-09-21 14:40:00,0.83,14096,United Kingdom,21.58
575063,35970,ZINC FOLKART SLEIGH BELLS,3,2011-11-08 12:32:00,1.69,16764,United Kingdom,5.07
556917,22659,LUNCH BOX I LOVE LONDON,128,2011-06-15 13:37:00,1.65,12415,Australia,211.2
538449,82599,FANNY'S REST STOPMETAL SIGN,2,2010-12-12 12:24:00,2.1,17085,United Kingdom,4.2
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-12-01 13:23:00,3.75,15485,United Kingdom,33.75
562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,2011-08-04 15:04:00,1.65,14535,United Kingdom,9.899999999999999
568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,2011-09-25 11:29:00,1.65,14005,United Kingdom,16.5
554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,2011-05-20 13:14:00,0.42,13243,United Kingdom,2.52
550512,22523,CHILDS GARDEN FORK PINK,2,2011-04-18 16:31:00,0.85,18069,United Kingdom,1.7
572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,2011-10-25 13:10:00,1.45,16549,United Kingdom,1.45
553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2011-05-17 13:26:00,5.45,13310,United Kingdom,16.35
565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2011-09-01 11:33:00,1.69,13089,United Kingdom,67.6
566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2011-09-12 13:56:00,6.95,13064,United Kingdom,27.8
536593,22366,DOORMAT AIRMAIL ,2,2010-12-01 17:15:00,7.95,16835,United Kingdom,15.9
578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-11-22 14:23:00,4.25,17338,United Kingdom,12.75
553525,21385,IVORY HANGING DECORATION  HEART,24,2011-05-17 14:50:00,0.85,16266,United Kingdom,20.4
548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-04-04 09:55:00,1.95,13198,United Kingdom,15.6
551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-05-03 12:16:00,0.83,15271,United Kingdom,9.959999999999999
555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2011-06-02 15:13:00,1.65,12517,Germany,8.25
578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,2011-11-27 16:05:00,0.39,15436,United Kingdom,0.39
557233,22561,WOODEN SCHOOL COLOURING SET,3,2011-06-17 14:44:00,1.65,15356,United Kingdom,4.949999999999999
558232,21927,BLUE/CREAM STRIPE CUSHION COVER ,2,2011-06-27 14:30:00,1.25,17841,United Kingdom,2.5
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2011-02-02 14:36:00,2.55,15421,United Kingdom,15.299999999999999
575070,23427,STOOL HOME SWEET HOME ,2,2011-11-08 12:58:00,12.5,17841,United Kingdom,25.0
544322,79000,MOROCCAN TEA GLASS,24,2011-02-17 15:50:00,0.85,14211,United Kingdom,20.4
570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,2011-10-07 10:13:00,1.25,17841,United Kingdom,1.25
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,2011-05-19 17:47:00,9.95,12353,Bahrain,39.8
579619,21174,POTTERING IN THE SHED METAL SIGN,12,2011-11-30 12:10:00,2.08,18241,United Kingdom,24.96
559200,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-07-07 10:36:00,2.1,13291,United Kingdom,2.1
540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,2011-01-07 13:17:00,3.81,14298,United Kingdom,30.48
548336,15036,ASSORTED COLOURS SILK FAN,600,2011-03-30 14:06:00,0.65,13082,United Kingdom,390.0
575051,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-11-08 12:14:00,9.95,15957,United Kingdom,19.9
568095,90201B,BLACK ENAMEL FLOWER RING,6,2011-09-23 14:49:00,2.95,14911,EIRE,17.700000000000003
544646,71038,WHITE HANGING BEADS CANDLE HOLDER,4,2011-02-22 12:06:00,5.45,17075,United Kingdom,21.8
542112,22423,REGENCY CAKESTAND 3 TIER,2,2011-01-25 13:55:00,12.75,13168,United Kingdom,25.5
566203,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-09-09 14:47:00,1.25,16362,United Kingdom,15.0
578290,22670,FRENCH WC SIGN BLUE METAL,12,2011-11-23 14:07:00,1.25,13644,United Kingdom,15.0
547202,22652,TRAVEL SEWING KIT,1,2011-03-21 13:38:00,1.65,17841,United Kingdom,1.65
540114,84030E,ENGLISH ROSE HOT WATER BOTTLE,8,2011-01-05 09:44:00,4.25,15498,United Kingdom,34.0
573909,22913,RED COAT RACK PARIS FASHION,1,2011-11-01 15:26:00,4.95,17813,United Kingdom,4.95
576611,23084,RABBIT NIGHT LIGHT,10,2011-11-15 16:29:00,2.08,17357,United Kingdom,20.8
