CustomerID,StockCode,Description,Score
12348,22786,CUSHION COVER PINK UNION JACK,0.0819117398687137
12348,22865,HAND WARMER OWL DESIGN,0.07207272202875857
12348,22979,PANTRY WASHING UP BRUSH,0.07061655733756292
12348,21479,WHITE SKULL HOT WATER BOTTLE ,0.05263447418126742
12348,22030,SWALLOWS GREETING CARD,0.024697318824519875
12348,21802,CHRISTMAS TREE HEART DECORATION,0.021645849861427275
12348,84596F,SMALL MARSHMALLOWS PINK BOWL,0.016863497948368094
12348,21930,JUMBO STORAGE BAG SKULLS,0.016372118595303096
12348,22586,FELTCRAFT HAIRBAND PINK AND BLUE,0.013201272201896557
12348,22534,MAGIC DRAWING SLATE SPACEBOY ,0.006426081001505603
12348,20725,LUNCH BAG RED RETROSPOT,0.006348507529328949
12348,84459A,PINK METAL CHICKEN HEART ,0.006105340616724117
12348,21294,ETCHED GLASS COASTER,0.005679557272290676
12348,16237,SLEEPING CAT ERASERS,0.005443338166956209
12348,23208,LUNCH BAG VINTAGE LEAF DESIGN,0.005239997654067548
12352,79336,LIGHT PINK FLOCK GLASS CANDLEHOLDER,0.944911182523068
12352,79063C,"RETRO PILL BOX KEY CHAIN,THE KING",0.944616036121202
12352,22999,TRAVEL CARD WALLET VINTAGE LEAF,0.8156662324126256
12352,22996,TRAVEL CARD WALLET VINTAGE TICKET,0.7266872240318968
12352,22210,WOOD STAMP SET BEST WISHES,0.6647000940439917
12352,17021,NAMASTE SWAGAT INCENSE,0.4179586594315146
12352,21162,TOXIC AREA  DOOR HANGER ,0.4120525382166861
12352,21851,LILAC DIAMANTE PEN IN GIFT BOX,0.1889822365046136
12352,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,0.1889822365046136
12352,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,0.13363062095621217
12352,84231,EASTER BUNNY WITH BASKET ON BACK,0.0944911182523068
12352,22760,"TRAY, BREAKFAST IN BED",0.0944911182523068
12352,23426,METAL SIGN DROP YOUR PANTS,0.0944911182523068
12352,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,0.0944911182523068
12352,22309,TEA COSY RED  STRIPE,0.0944911182523068
12353,22517,CHILDS GARDEN RAKE PINK,0.41602514716892186
12353,22757,LARGE RED BABUSHKA NOTEBOOK ,0.3481553119113957
12353,22893,MINI CAKE STAND T-LIGHT HOLDER,0.3144854510165755
12353,37448,CERAMIC CAKE DESIGN SPOTTED MUG,0.282842712474619
12353,15044A,PINK PAPER PARASOL ,0.27216552697590873
12353,23073,GEORGIAN TRINKET BOX,0.22222222222222227
12353,15030,FAN BLACK FRAME ,0.19245008972987526
12353,20694,FLORAL PINK MONSTER,0.19245008972987526
12353,72130,COLUMBIAN CANDLE ROUND,0.19245008972987526
12353,35968,FOLK ART METAL HEART T-LIGHT HOLDER,0.19245008972987526
12353,23120,PACK OF 6 SMALL FRUIT STRAWS,0.19245008972987526
12353,21720,CAKE SHOP  STICKER SHEET,0.19245008972987526
12353,22936,BAKING MOULD ROSE WHITE CHOCOLATE,0.19245008972987526
12353,21351,CINAMMON & ORANGE WREATH,0.19245008972987526
12353,21662,VINTAGE GLASS COFFEE CADDY,0.19245008972987526
12354,40001,WHITE BAMBOO RIBS LAMPSHADE,0.5773502691896258
12354,21716,BOYS VINTAGE TIN SEASIDE BUCKET,0.5298129428260175
12354,23204,CHARLOTTE BAG APPLES DESIGN,0.4942434372507727
12354,82578,KITCHEN METAL SIGN,0.4472494040822234
12354,22985,"WRAP, BILLBOARD FONTS DESIGN",0.408248290463863
12354,23075,DOUBLE CERAMIC PARLOUR HOOK,0.3870068991560854
12354,22892,SET OF SALT AND PEPPER TOADSTOOLS,0.36108279204310056
12354,22276,WASH BAG VINTAGE ROSE PAISLEY,0.34667809795908344
12354,21906,PHARMACIE FIRST AID TIN,0.31568018505879386
12354,22994,TRAVEL CARD WALLET RETROSPOT,0.3126551169284735
12354,20724,RED RETROSPOT CHARLOTTE BAG,0.2944561854948087
12354,21394,RED POLKADOT BEAKER ,0.29433684148735123
12354,22050,PINK PAISLEY ROSE GIFT WRAP,0.2881752638568445
12354,22474,SPACEBOY TV DINNER TRAY,0.2790244994266217
12354,22431,WATERING CAN BLUE ELEPHANT,0.2753694531102896
12355,22154,ANGEL DECORATION 3 BUTTONS ,0.883852189906927
12355,22603,CHRISTMAS RETROSPOT TREE WOOD,0.8479522005177035
12355,22618,COOKING SET RETROSPOT,0.8435955471811815
12355,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,0.7260514455927666
12355,22217,T-LIGHT HOLDER HANGING LACE,0.676067365247865
